id,instrument,code,name,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percusssion,harp,piano,column,row
735,Basson,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,3,3,3,3,2,2,2,2,2,3,5,3,3,3,3,0,B,1
736,Basson,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,5,2,2,3,3,3,3,3,3,3,4,3,3,4,3,0,B,1
737,Basson,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,4,3,3,2,3,3,2,3,2,3,5,4,3,5,3,0,B,1
738,Basson,Rav1,La Valse (RAVEL) - Configuration 1,2,3,3,3,3,3,3,3,3,3,4,4,3,5,3,0,B,1
739,Basson,Rav2,La Valse (RAVEL) - Configuration 2,3,3,3,3,3,2,2,2,3,3,3,3,3,5,3,0,B,1
743,Basson,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
744,Basson,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M,3
745,Basson,Moz1,Symphonie n°41 (MOZART) - Configuration 1,4,3,3,3,3,2,2,0,2,3,3,0,0,3,0,0,B,1
746,Basson,Moz2,Symphonie n°41 (MOZART) - Configuration 2,4,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
747,Basson,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
748,Basson,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M,3
749,Basson,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,2,2,0,2,3,3,0,0,3,0,0,B,1
750,Basson,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
751,Basson,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M,3
752,Basson,Moz4,Symphonie n°41 (MOZART) - Configuration 4,4,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
753,Basson,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
754,Basson,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M,3
755,Basson,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,3,3,3,3,3,2,2,2,2,3,3,0,0,3,0,0,B,1
756,Basson,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,G,2
757,Basson,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,G,2
758,Basson,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,B,1
759,Basson,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,B,1
760,Basson,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,G,2
761,Basson,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,G,2
762,Basson,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,4,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,B,1
783,Clarinette,Moz1,Symphonie n°41 (MOZART) - Configuration 1,4,3,3,3,3,3,2,0,2,2,4,0,0,4,0,0,B,1
784,Clarinette,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,M,3
785,Clarinette,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,2,3,3,3,0,3,2,3,0,0,3,0,0,G,2
786,Clarinette,Moz3,Symphonie n°41 (MOZART) - Configuration 3,4,3,3,3,2,3,3,0,3,2,4,0,0,3,0,0,B,1
787,Clarinette,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,3,3,0,3,2,3,0,0,3,0,0,G,2
788,Clarinette,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
810,Clarinette,Moz1,Symphonie n°41 (MOZART) - Configuration 1,5,3,2,2,2,3,3,0,2,3,5,0,0,3,0,0,G,2
811,Clarinette,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,2,2,0,2,3,3,0,0,3,0,0,G,2
812,Clarinette,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,2,2,0,2,3,4,0,0,3,0,0,G,2
813,Clarinette,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,2,2,0,3,3,3,0,0,3,0,0,G,2
836,Hautbois,Moz1,Symphonie n°41 (MOZART) - Configuration 1,4,3,3,3,2,2,2,0,2,3,3,0,0,3,0,0,G,2
